,bestScore,scores,aiMean,aiRange
0,-0.3263354465043789,"[-0.3263354465043789, -0.3263354465043789, -0.3263354465043789, -0.3263354465043789, -0.3263354465043789, -0.3263354465043789, -0.3263354465043789, -0.3263354465043789, -0.3263354465043789, -0.3263354465043789]",80.0,0.0
1,-0.2744354359627546,"[-0.2744354359627546, -0.2744354359627546, -0.2744354359627546, -0.2744354359627546, -0.2744354359627546, -0.2744354359627546, -0.2744354359627546, -0.2744354359627546, -0.2744354359627546, -0.2744354359627546]",80.0,30.0
2,-0.24395740829076293,"[-0.23955961543666393, -0.23955961543666393, -0.23955961543666393, -0.23955961543666393, -0.24395740829076293, -0.24395740829076293, -0.24395740829076293, -0.24395740829076293, -0.24395740829076293, -0.24395740829076293]",100.0,0.0
3,-0.279201281768401,"[-0.27920128176840098, -0.27920128176840098, -0.27920128176840098, -0.27920128176840098, -0.27920128176840098, -0.27920128176840098, -0.27920128176840098, -0.27920128176840098, -0.27920128176840098, -0.27920128176840098]",100.0,30.0
4,-0.9591633847182817,"[-0.90658706140989798, -0.90658706140989798, -0.90658706140989798, -0.90658706140989798, -0.90658706140989798, -0.90658706140989798, -0.94990790717044415, -0.95916338471828166, -0.95916338471828166, -0.95916338471828166]",120.0,0.0
5,-0.07249596110684228,"[-0.042437972050047748, -0.044716075051012022, -0.072495961106842283, -0.072495961106842283, -0.072495961106842283, -0.072495961106842283, -0.072495961106842283, -0.072495961106842283, -0.072495961106842283, -0.072495961106842283]",120.0,30.0
6,-0.5044521800127095,"[-0.50445218001270953, -0.50445218001270953, -0.50445218001270953, -0.50445218001270953, -0.50445218001270953, -0.50445218001270953, -0.50445218001270953, -0.50445218001270953, -0.50445218001270953, -0.50445218001270953]",80.0,0.0
7,-0.42637446879590846,"[-0.42637446879590846, -0.42637446879590846, -0.42637446879590846, -0.42637446879590846, -0.42637446879590846, -0.42637446879590846, -0.42637446879590846, -0.42637446879590846, -0.42637446879590846, -0.42637446879590846]",80.0,30.0
8,-0.053610520103777606,"[0.078131084351310123, 0.078131084351310123, 0.078131084351310123, 0.078131084351310123, 0.078131084351310123, 0.078131084351310123, 0.078131084351310123, -0.053610520103777606, -0.053610520103777606, -0.053610520103777606]",100.0,0.0
9,-0.6329105854298704,"[-0.6311009129611227, -0.6311009129611227, -0.6311009129611227, -0.6311009129611227, -0.6311009129611227, -0.63291058542987044, -0.63291058542987044, -0.63291058542987044, -0.63291058542987044, -0.63291058542987044]",100.0,30.0
10,-0.19239487027560254,"[-0.19239487027560254, -0.19239487027560254, -0.19239487027560254, -0.19239487027560254, -0.19239487027560254, -0.19239487027560254, -0.19239487027560254, -0.19239487027560254, -0.19239487027560254, -0.19239487027560254]",120.0,0.0
11,-0.7780086882440775,"[-0.13268645073893251, -0.77800868824407754, -0.77800868824407754, -0.77800868824407754, -0.77800868824407754, -0.77800868824407754, -0.77800868824407754, -0.77800868824407754, -0.77800868824407754, -0.77800868824407754]",120.0,30.0
12,-0.6510111195707715,"[-0.65015767476358399, -0.65101111957077151, -0.65101111957077151, -0.65101111957077151, -0.65101111957077151, -0.65101111957077151, -0.65101111957077151, -0.65101111957077151, -0.65101111957077151, -0.65101111957077151]",80.0,0.0
13,-0.180498352495428,"[-0.16359128609773468, -0.17606762331006354, -0.17606762331006354, -0.18021388877143568, -0.18021388877143568, -0.18021388877143568, -0.18021388877143568, -0.180498352495428, -0.180498352495428, -0.180498352495428]",80.0,30.0
14,-0.6442009359032738,"[-0.64420093590327376, -0.64420093590327376, -0.64420093590327376, -0.64420093590327376, -0.64420093590327376, -0.64420093590327376, -0.64420093590327376, -0.64420093590327376, -0.64420093590327376, -0.64420093590327376]",100.0,0.0
15,-0.9554462373436279,"[-0.94424132380690584, -0.94859356168461118, -0.94859356168461118, -0.95419263058552029, -0.95419263058552029, -0.95419263058552029, -0.95419263058552029, -0.95544623734362788, -0.95544623734362788, -0.95544623734362788]",100.0,30.0
16,-0.8309240600482894,"[-0.83092406004828945, -0.83092406004828945, -0.83092406004828945, -0.83092406004828945, -0.83092406004828945, -0.83092406004828945, -0.83092406004828945, -0.83092406004828945, -0.83092406004828945, -0.83092406004828945]",120.0,0.0
17,-0.20228153298200105,"[-0.034637170626314238, -0.20228153298200105, -0.20228153298200105, -0.20228153298200105, -0.20228153298200105, -0.20228153298200105, -0.20228153298200105, -0.20228153298200105, -0.20228153298200105, -0.20228153298200105]",120.0,30.0
