,bestScore,scores,aiMean,aiRange
0,-2.082925074465829,"[-0.7036951451145369, -0.7036951451145369, -0.7036951451145369, -0.7169259369303403, -0.7169259369303403, -0.7169259369303403, -0.7169259369303403, -0.7169259369303403, -0.7263595117554421, -0.7263595117554421, -0.7263595117554421, -0.7263595117554421, -0.880531236659101, -0.880531236659101, -0.880531236659101, -0.880531236659101, -0.880531236659101, -0.880531236659101, -0.880531236659101, -1.0791353523464156, -1.0791353523464156, -1.0826864508401932, -1.085076726057998, -1.085076726057998, -1.5345910349140328, -1.5345910349140328, -1.5345910349140328, -1.5345910349140328, -1.544244947922196, -1.544244947922196, -1.561550594295851, -1.561550594295851, -1.5780655132298405, -1.5780655132298405, -1.5780655132298405, -1.6200246166873324, -1.6200246166873324, -1.6347483704720658, -1.6754818587421958, -1.7228956997766407, -1.7228956997766407, -1.7228956997766407, -1.7228956997766407, -1.7228956997766407, -1.7228956997766407, -1.7228956997766407, -1.7270239720322227, -1.806868679455209, -1.806868679455209, -1.806868679455209, -1.806868679455209, -1.806868679455209, -1.814803508279676, -1.814803508279676, -1.8315871528240537, -2.0568703699138413, -2.0568703699138413, -2.0568703699138413, -2.0568703699138413, -2.0568703699138413, -2.0568703699138413, -2.0568703699138413, -2.0568703699138413, -2.0568703699138413, -2.062670264674567, -2.0635064146388005, -2.0635064146388005, -2.0635064146388005, -2.0635064146388005, -2.0635064146388005, -2.0635064146388005, -2.063814789012401, -2.063814789012401, -2.068094816624422, -2.068094816624422, -2.068094816624422, -2.068094816624422, -2.068094816624422, -2.068094816624422, -2.068094816624422, -2.068094816624422, -2.068094816624422, -2.0714667466045507, -2.0714667466045507, -2.0714667466045507, -2.0714667466045507, -2.0714667466045507, -2.0714667466045507, -2.0714667466045507, -2.082925074465829, -2.082925074465829]",80.0,0.0
1,-2.6111510929872583,"[-1.2400408801702212, -1.2400408801702212, -1.2400408801702212, -1.2400408801702212, -1.2400408801702212, -1.2400408801702212, -1.2400408801702212, -1.2400408801702212, -1.2400408801702212, -1.2400408801702212, -1.2400408801702212, -1.2400408801702212, -1.2400408801702212, -1.2400408801702212, -1.2400408801702212, -1.2400408801702212, -1.2400408801702212, -1.2400408801702212, -1.2400408801702212, -1.2400408801702212, -1.2400408801702212, -1.2400408801702212, -1.2628817458354298, -1.2628817458354298, -1.4725307960731928, -1.4725307960731928, -1.4725307960731928, -1.4758959830425284, -1.5066716583708297, -1.5066716583708297, -2.0310830135910107, -2.0310830135910107, -2.0310830135910107, -2.0310830135910107, -2.0310830135910107, -2.0638762600799354, -2.0638762600799354, -2.0900984726979077, -2.097821667263944, -2.102065743931038, -2.102065743931038, -2.228203951695842, -2.228203951695842, -2.228203951695842, -2.228203951695842, -2.228203951695842, -2.253966771461372, -2.3944595692219157, -2.3944595692219157, -2.3944595692219157, -2.3944595692219157, -2.3944595692219157, -2.3944595692219157, -2.3944595692219157, -2.3944595692219157, -2.401388735287574, -2.4013953546210094, -2.401820050797646, -2.401820050797646, -2.401820050797646, -2.402225557081161, -2.402225557081161, -2.402225557081161, -2.4445778176161386, -2.445831727751738, -2.446076235109519, -2.446076235109519, -2.4460812546886097, -2.4460812546886097, -2.4461435008410177, -2.4461738828743376, -2.4461738828743376, -2.4480154099006652, -2.4488066733606777, -2.4488066733606777, -2.4488066733606777, -2.4488066733606777, -2.4488066733606777, -2.4488066733606777, -2.5236755024265936, -2.5470557775853857, -2.5470557775853857, -2.5474751442306998, -2.547617412570262, -2.547617412570262, -2.6111510929872583, -2.6111510929872583, -2.6111510929872583, -2.6111510929872583, -2.6111510929872583, -2.6111510929872583]",80.0,30.0
2,-2.273457054617713,"[-1.1242632441516829, -1.1242632441516829, -1.1242632441516829, -1.1242632441516829, -1.1242632441516829, -1.1242632441516829, -1.1242632441516829, -1.1242632441516829, -1.1242632441516829, -1.1242632441516829, -1.1242632441516829, -1.1242632441516829, -1.1242632441516829, -1.1242632441516829, -1.1242632441516829, -1.1242632441516829, -1.1242632441516829, -1.1242632441516829, -1.1242632441516829, -1.5258365658701498, -1.5258365658701498, -1.5258365658701498, -1.5258365658701498, -1.5361912580889794, -1.5361912580889794, -1.5361912580889794, -1.5361938368347017, -1.5361938368347017, -1.6701518997903575, -1.6701518997903575, -1.7222794270831745, -1.7222794270831745, -1.7222794270831745, -1.7222794270831745, -1.7222794270831745, -1.7222794270831745, -1.7222794270831745, -1.759884753657954, -1.759884753657954, -1.759884753657954, -1.759884753657954, -1.759884753657954, -1.759884753657954, -1.759884753657954, -1.759884753657954, -1.759884753657954, -1.992074585785997, -1.992074585785997, -1.992074585785997, -2.008520339272909, -2.008520339272909, -2.008520339272909, -2.008520339272909, -2.008520339272909, -2.008520339272909, -2.010064252382021, -2.0918752382192514, -2.0918752382192514, -2.0918752382192514, -2.0918752382192514, -2.0918752382192514, -2.0918752382192514, -2.099002240081619, -2.099002240081619, -2.0992552620663587, -2.0992552620663587, -2.099313545945818, -2.099313545945818, -2.0998854442577053, -2.1097559746856556, -2.1097559746856556, -2.1097559746856556, -2.151427800665666, -2.1522978814983107, -2.1522978814983107, -2.1524964814797416, -2.182397673290472, -2.2321384408607847, -2.2321384408607847, -2.2321384408607847, -2.2321384408607847, -2.2321384408607847, -2.2325270449183727, -2.2325270449183727, -2.2325270449183727, -2.2325270449183727, -2.2325270449183727, -2.2325270449183727, -2.232929255659787, -2.232929255659787, -2.273457054617713]",100.0,0.0
3,-2.6362436292561053,"[-0.7994435576115696, -0.7994435576115696, -0.7994435576115696, -0.8074265436733976, -0.8081756820961026, -0.8081756820961026, -0.8081756820961026, -0.8236582576765311, -0.8236582576765311, -1.4860127013270394, -1.5681597579589346, -2.0393844762044053, -2.0393844762044053, -2.0393844762044053, -2.0393844762044053, -2.0393844762044053, -2.0393844762044053, -2.0393844762044053, -2.0393844762044053, -2.112490579958862, -2.112490579958862, -2.112490579958862, -2.3546321534563974, -2.3546321534563974, -2.3546321534563974, -2.3546321534563974, -2.435650539456507, -2.435650539456507, -2.469196990616734, -2.469196990616734, -2.469196990616734, -2.504742024823366, -2.504742024823366, -2.510480056400449, -2.510480056400449, -2.510480056400449, -2.510480056400449, -2.5953423963663016, -2.5953423963663016, -2.5953423963663016, -2.5953423963663016, -2.5953423963663016, -2.5953423963663016, -2.5953423963663016, -2.5953423963663016, -2.5953423963663016, -2.600282306694297, -2.600282306694297, -2.600282306694297, -2.600282306694297, -2.600282306694297, -2.600282306694297, -2.600282306694297, -2.600282306694297, -2.600282306694297, -2.60459435871527, -2.60459435871527, -2.60459435871527, -2.60459435871527, -2.60459435871527, -2.6085110907164992, -2.6085110907164992, -2.6085110907164992, -2.6085110907164992, -2.612677849754845, -2.61383934226942, -2.61383934226942, -2.61383934226942, -2.61383934226942, -2.61383934226942, -2.61383934226942, -2.61383934226942, -2.61383934226942, -2.6142807699489397, -2.614458107617739, -2.628171892730784, -2.628171892730784, -2.628171892730784, -2.628171892730784, -2.628171892730784, -2.628656248468496, -2.628656248468496, -2.6362436292561053, -2.6362436292561053, -2.6362436292561053, -2.6362436292561053, -2.6362436292561053, -2.6362436292561053, -2.6362436292561053, -2.6362436292561053, -2.6362436292561053]",100.0,30.0
4,-2.673269770883061,"[-0.9022708202281743, -0.9022708202281743, -0.9022708202281743, -0.902300664967907, -0.902300664967907, -0.902300664967907, -0.902300664967907, -0.902300664967907, -0.902300664967907, -0.902300664967907, -0.902300664967907, -0.902300664967907, -1.6004953338605274, -1.6764130300545748, -1.6764130300545748, -1.6764130300545748, -1.6764130300545748, -1.6764130300545748, -1.6764130300545748, -2.402878613830396, -2.402878613830396, -2.402878613830396, -2.402878613830396, -2.402878613830396, -2.402878613830396, -2.402878613830396, -2.402878613830396, -2.402878613830396, -2.4895549617137847, -2.4895549617137847, -2.4895549617137847, -2.4895549617137847, -2.4895549617137847, -2.4895549617137847, -2.4895549617137847, -2.491236022097201, -2.491236022097201, -2.493547141807099, -2.5018231897142535, -2.5018231897142535, -2.5018231897142535, -2.5018231897142535, -2.5018231897142535, -2.5261964966305954, -2.5261964966305954, -2.5261964966305954, -2.5724891404549233, -2.5724891404549233, -2.576401533427583, -2.580062308649678, -2.581335201819632, -2.581335201819632, -2.581335201819632, -2.581335201819632, -2.581335201819632, -2.595059481262766, -2.6017594260213754, -2.6017594260213754, -2.6017594260213754, -2.601774273965149, -2.601774273965149, -2.601774273965149, -2.601774273965149, -2.6122519513791307, -2.620543694729586, -2.620543694729586, -2.620543694729586, -2.620543694729586, -2.620543694729586, -2.620543694729586, -2.620543694729586, -2.620543694729586, -2.620543694729586, -2.6230980328039712, -2.6230980328039712, -2.6230980328039712, -2.6230980328039712, -2.625756883050796, -2.625756883050796, -2.625756883050796, -2.625756883050796, -2.625756883050796, -2.673269770883061, -2.673269770883061, -2.673269770883061, -2.673269770883061, -2.673269770883061, -2.673269770883061, -2.673269770883061, -2.673269770883061, -2.673269770883061]",120.0,0.0
5,-2.6983545629264003,"[-0.5721500688581447, -0.5721500688581447, -0.5721500688581447, -0.5721500688581447, -0.5721500688581447, -0.5721500688581447, -0.5721500688581447, -0.5721500688581447, -0.5721500688581447, -0.818741976742044, -0.8193425783506006, -1.1837125884716229, -1.1837125884716229, -1.5196871520146622, -1.5196871520146622, -1.5196871520146622, -1.5196871520146622, -1.5196871520146622, -1.5196871520146622, -1.8505719216628893, -1.8505719216628893, -1.8505719216628893, -1.8505719216628893, -1.8505719216628893, -1.8505719216628893, -1.8505719216628893, -1.8505719216628893, -1.8505719216628893, -2.2593812557886634, -2.4815425743368515, -2.4815425743368515, -2.494767645836063, -2.494767645836063, -2.494767645836063, -2.494767645836063, -2.494767645836063, -2.625821780454339, -2.635348074553023, -2.6425664980815586, -2.6425664980815586, -2.6425664980815586, -2.6566076008932216, -2.6566076008932216, -2.6566076008932216, -2.6566076008932216, -2.6566076008932216, -2.6695133829405218, -2.6853367167488096, -2.6853367167488096, -2.6853367167488096, -2.6853367167488096, -2.6853367167488096, -2.6853367167488096, -2.6853367167488096, -2.6853367167488096, -2.685758238743125, -2.6869385754258395, -2.6869385754258395, -2.6869385754258395, -2.6869385754258395, -2.6869385754258395, -2.6869385754258395, -2.6869385754258395, -2.6869385754258395, -2.6887185783971668, -2.6887185783971668, -2.6887185783971668, -2.6887185783971668, -2.6887185783971668, -2.6887185783971668, -2.6887185783971668, -2.6887185783971668, -2.6887185783971668, -2.6887185783971668, -2.6887185783971668, -2.6887185783971668, -2.6887185783971668, -2.6887185783971668, -2.6887185783971668, -2.6887185783971668, -2.6887185783971668, -2.6887185783971668, -2.6887185783971668, -2.6887185783971668, -2.6887185783971668, -2.6983545629264003, -2.6983545629264003, -2.6983545629264003, -2.6983545629264003, -2.6983545629264003, -2.6983545629264003]",120.0,30.0
6,-2.654309854687432,"[-0.8842912034690313, -0.8842912034690313, -0.8842912034690313, -0.9206017425182178, -0.9206017425182178, -0.9206017425182178, -0.9206017425182178, -0.9206017425182178, -0.9206017425182178, -0.9206017425182178, -0.9206017425182178, -0.9206017425182178, -0.9206017425182178, -0.9206017425182178, -0.9206017425182178, -0.9206017425182178, -0.9206017425182178, -0.9206017425182178, -0.9206017425182178, -1.1168868412663573, -1.1168868412663573, -1.1168868412663573, -1.1168868412663573, -1.1168868412663573, -1.1168868412663573, -1.1168868412663573, -1.1168868412663573, -1.1168868412663573, -1.1587687997237068, -1.1587687997237068, -1.1608262346029772, -1.1608262346029772, -1.5209841739015044, -1.5209841739015044, -1.5209841739015044, -1.5209841739015044, -1.795073170388755, -1.818908465187961, -1.818908465187961, -1.8802987824482145, -1.8802987824482145, -1.8802987824482145, -1.8802987824482145, -2.0567727524694766, -2.0567727524694766, -2.0567727524694766, -2.165735868754831, -2.165735868754831, -2.4991850144270793, -2.4991850144270793, -2.4991850144270793, -2.4991850144270793, -2.4991850144270793, -2.4991850144270793, -2.4991850144270793, -2.5041563776701685, -2.5041563776701685, -2.5041563776701685, -2.5041563776701685, -2.5041563776701685, -2.5041563776701685, -2.5041563776701685, -2.5041563776701685, -2.5041563776701685, -2.511373558027204, -2.511373558027204, -2.640443075499631, -2.640443075499631, -2.640443075499631, -2.640443075499631, -2.640443075499631, -2.640443075499631, -2.640443075499631, -2.642657980583138, -2.649773998499436, -2.649773998499436, -2.649773998499436, -2.649773998499436, -2.649773998499436, -2.649773998499436, -2.649773998499436, -2.649773998499436, -2.654309854687432, -2.654309854687432, -2.654309854687432, -2.654309854687432, -2.654309854687432, -2.654309854687432, -2.654309854687432, -2.654309854687432, -2.654309854687432]",80.0,0.0
7,-2.8291137577413683,"[-0.8899514419697646, -0.8913586718632595, -0.8913586718632595, -0.8913586718632595, -0.8913586718632595, -1.022581607980095, -1.022581607980095, -1.4641554030219015, -1.522461408215734, -1.522461408215734, -1.6678231685322111, -1.6678231685322111, -1.6678231685322111, -1.7612278531168084, -1.7612278531168084, -1.809019121459378, -2.2532179664593976, -2.522227959880027, -2.522227959880027, -2.735734438183775, -2.762029204051119, -2.7739825743898607, -2.7739825743898607, -2.7739825743898607, -2.7739825743898607, -2.7739825743898607, -2.7739825743898607, -2.7739825743898607, -2.781006947799152, -2.781006947799152, -2.781006947799152, -2.781006947799152, -2.781006947799152, -2.781006947799152, -2.782476552160751, -2.784412568446758, -2.784412568446758, -2.7870182789806237, -2.7870182789806237, -2.794471869011334, -2.794471869011334, -2.794471869011334, -2.794471869011334, -2.794471869011334, -2.794471869011334, -2.794471869011334, -2.7986316197347247, -2.8004181555520122, -2.8004181555520122, -2.8004181555520122, -2.8004181555520122, -2.8004181555520122, -2.8004181555520122, -2.801113450268265, -2.8066321802393444, -2.807111564160499, -2.8071912911757106, -2.8073811543765963, -2.8073811543765963, -2.810592530971673, -2.8136486880272584, -2.8136486880272584, -2.8136486880272584, -2.8136486880272584, -2.8142593227335535, -2.8142593227335535, -2.8142593227335535, -2.8142593227335535, -2.815066239767571, -2.815066239767571, -2.815066239767571, -2.8242358648667873, -2.8242358648667873, -2.8248406736236475, -2.8248406736236475, -2.8248406736236475, -2.8248406736236475, -2.8248406736236475, -2.8248406736236475, -2.8248406736236475, -2.8248406736236475, -2.8248406736236475, -2.825016847272019, -2.8291137577413683, -2.8291137577413683, -2.8291137577413683, -2.8291137577413683, -2.8291137577413683, -2.8291137577413683, -2.8291137577413683, -2.8291137577413683]",80.0,30.0
8,-2.537963403893354,"[-1.3325460657497055, -1.3325460657497055, -1.351867276395129, -1.3547837317412843, -1.3547837317412843, -1.3547837317412843, -1.3547837317412843, -1.3547837317412843, -1.3547837317412843, -1.3547837317412843, -1.3547837317412843, -1.3547837317412843, -1.3547837317412843, -1.3547837317412843, -1.3547837317412843, -1.3547837317412843, -1.3547837317412843, -1.3547837317412843, -1.3547837317412843, -1.3547837317412843, -1.3547837317412843, -1.3547837317412843, -1.3547837317412843, -1.3547837317412843, -1.3547837317412843, -1.3547837317412843, -1.3547837317412843, -1.363122097759382, -1.3640278095698684, -1.3640972269095477, -1.367997092760272, -1.367997092760272, -1.7019985425763022, -1.7019985425763022, -1.7019985425763022, -1.7019985425763022, -1.7019985425763022, -1.7263714257730352, -2.4141933809549494, -2.4141933809549494, -2.4141933809549494, -2.4141933809549494, -2.4165851420489104, -2.4165851420489104, -2.422060630105647, -2.422060630105647, -2.452981724147185, -2.452981724147185, -2.452981724147185, -2.452981724147185, -2.452981724147185, -2.452981724147185, -2.452981724147185, -2.452981724147185, -2.452981724147185, -2.4639710869748273, -2.4639710869748273, -2.4639710869748273, -2.4639710869748273, -2.4639710869748273, -2.4639710869748273, -2.4639710869748273, -2.4639710869748273, -2.4639710869748273, -2.4697812666736048, -2.4697812666736048, -2.4697812666736048, -2.4697812666736048, -2.4697812666736048, -2.4697812666736048, -2.4718918249158994, -2.4718918249158994, -2.4718918249158994, -2.474321168416215, -2.474321168416215, -2.477171361924247, -2.477171361924247, -2.537947856135776, -2.537947856135776, -2.537947856135776, -2.537947856135776, -2.537947856135776, -2.537947856135776, -2.537947856135776, -2.537963403893354, -2.537963403893354, -2.537963403893354, -2.537963403893354, -2.537963403893354, -2.537963403893354, -2.537963403893354]",100.0,0.0
9,-2.637707890328141,"[-1.0982372132396347, -1.2107279233691697, -1.2107279233691697, -1.2107279233691697, -1.460287274732057, -1.460287274732057, -1.460287274732057, -1.460287274732057, -1.5099878898553747, -1.5099878898553747, -1.6116323355875428, -2.342799454785464, -2.342799454785464, -2.342799454785464, -2.342799454785464, -2.5078210254017823, -2.5078210254017823, -2.5078210254017823, -2.5078210254017823, -2.5493620028299917, -2.5493620028299917, -2.5493620028299917, -2.5493620028299917, -2.5493620028299917, -2.556113292416768, -2.556113292416768, -2.5580900447340196, -2.5580900447340196, -2.567426502043254, -2.567426502043254, -2.567426502043254, -2.567426502043254, -2.61775688340353, -2.61775688340353, -2.61775688340353, -2.61775688340353, -2.61775688340353, -2.618165865806762, -2.6231322396585997, -2.6231322396585997, -2.6231322396585997, -2.6231322396585997, -2.6231322396585997, -2.6231322396585997, -2.6231322396585997, -2.6231322396585997, -2.627827251881563, -2.6296797753363803, -2.6296797753363803, -2.6296797753363803, -2.6296797753363803, -2.6296797753363803, -2.6296797753363803, -2.6296797753363803, -2.6296797753363803, -2.6311324882115383, -2.6311324882115383, -2.6311324882115383, -2.631528331732223, -2.6322808550495536, -2.6322808550495536, -2.6322808550495536, -2.632828437256412, -2.632828437256412, -2.6341497970249628, -2.6341497970249628, -2.6341497970249628, -2.6341497970249628, -2.6341497970249628, -2.6341497970249628, -2.6341497970249628, -2.6341497970249628, -2.6341497970249628, -2.6359551979165214, -2.6359551979165214, -2.6362271566288378, -2.6362271566288378, -2.6362271566288378, -2.6362271566288378, -2.6362271566288378, -2.6375609289841417, -2.6375609289841417, -2.637707890328141, -2.637707890328141, -2.637707890328141, -2.637707890328141, -2.637707890328141, -2.637707890328141, -2.637707890328141, -2.637707890328141, -2.637707890328141]",100.0,30.0
